<http://identifiers.org/taxonomy/33554>	"Carnivora"	<http://identifiers.org/taxonomy/379582>	"Ailuridae"	<http://identifiers.org/taxonomy/9649>	"Ailurus fulgens"
<http://identifiers.org/taxonomy/33554>	"Carnivora"	<http://identifiers.org/taxonomy/9608>	"Canidae"	<http://identifiers.org/taxonomy/68722>	"Atelocynus microtis"
<http://identifiers.org/taxonomy/33554>	"Carnivora"	<http://identifiers.org/taxonomy/9608>	"Canidae"	<http://identifiers.org/taxonomy/68723>	"Canis adustus"
<http://identifiers.org/taxonomy/33554>	"Carnivora"	<http://identifiers.org/taxonomy/9608>	"Canidae"	<http://identifiers.org/taxonomy/1707807>	"Canis anthus"
<http://identifiers.org/taxonomy/33554>	"Carnivora"	<http://identifiers.org/taxonomy/9608>	"Canidae"	<http://identifiers.org/taxonomy/68724>	"Canis aureus"
<http://identifiers.org/taxonomy/33554>	"Carnivora"	<http://identifiers.org/taxonomy/9608>	"Canidae"	<http://identifiers.org/taxonomy/1002244>	"Canis environmental sample"
<http://identifiers.org/taxonomy/33554>	"Carnivora"	<http://identifiers.org/taxonomy/9608>	"Canidae"	<http://identifiers.org/taxonomy/242525>	"Canis himalayensis"
<http://identifiers.org/taxonomy/33554>	"Carnivora"	<http://identifiers.org/taxonomy/9608>	"Canidae"	<http://identifiers.org/taxonomy/242524>	"Canis indica"
<http://identifiers.org/taxonomy/33554>	"Carnivora"	<http://identifiers.org/taxonomy/9608>	"Canidae"	<http://identifiers.org/taxonomy/9614>	"Canis latrans"
<http://identifiers.org/taxonomy/33554>	"Carnivora"	<http://identifiers.org/taxonomy/9608>	"Canidae"	<http://identifiers.org/taxonomy/9612>	"Canis lupus"
<http://identifiers.org/taxonomy/33554>	"Carnivora"	<http://identifiers.org/taxonomy/9608>	"Canidae"	<http://identifiers.org/taxonomy/228401>	"Canis lycaon"
<http://identifiers.org/taxonomy/33554>	"Carnivora"	<http://identifiers.org/taxonomy/9608>	"Canidae"	<http://identifiers.org/taxonomy/68725>	"Canis mesomelas"
<http://identifiers.org/taxonomy/33554>	"Carnivora"	<http://identifiers.org/taxonomy/9608>	"Canidae"	<http://identifiers.org/taxonomy/45781>	"Canis rufus"
<http://identifiers.org/taxonomy/33554>	"Carnivora"	<http://identifiers.org/taxonomy/9608>	"Canidae"	<http://identifiers.org/taxonomy/32534>	"Canis simensis"
<http://identifiers.org/taxonomy/33554>	"Carnivora"	<http://identifiers.org/taxonomy/9608>	"Canidae"	<http://identifiers.org/taxonomy/9616>	"Canis sp."
<http://identifiers.org/taxonomy/33554>	"Carnivora"	<http://identifiers.org/taxonomy/9608>	"Canidae"	<http://identifiers.org/taxonomy/1419257>	"Canis sp. Belgium/36,000"
<http://identifiers.org/taxonomy/33554>	"Carnivora"	<http://identifiers.org/taxonomy/9608>	"Canidae"	<http://identifiers.org/taxonomy/613187>	"Canis sp. CANInt1"
<http://identifiers.org/taxonomy/33554>	"Carnivora"	<http://identifiers.org/taxonomy/9608>	"Canidae"	<http://identifiers.org/taxonomy/1785177>	"Canis sp. KEB-2016"
<http://identifiers.org/taxonomy/33554>	"Carnivora"	<http://identifiers.org/taxonomy/9608>	"Canidae"	<http://identifiers.org/taxonomy/1419712>	"Canis sp. Russia/33,500"
<http://identifiers.org/taxonomy/33554>	"Carnivora"	<http://identifiers.org/taxonomy/9608>	"Canidae"	<http://identifiers.org/taxonomy/9620>	"Cerdocyon thous"
<http://identifiers.org/taxonomy/33554>	"Carnivora"	<http://identifiers.org/taxonomy/9608>	"Canidae"	<http://identifiers.org/taxonomy/68728>	"Chrysocyon brachyurus"
<http://identifiers.org/taxonomy/33554>	"Carnivora"	<http://identifiers.org/taxonomy/9608>	"Canidae"	<http://identifiers.org/taxonomy/68730>	"Cuon alpinus"
<http://identifiers.org/taxonomy/33554>	"Carnivora"	<http://identifiers.org/taxonomy/9608>	"Canidae"	<http://identifiers.org/taxonomy/673762>	"Dusicyon australis"
<http://identifiers.org/taxonomy/33554>	"Carnivora"	<http://identifiers.org/taxonomy/9608>	"Canidae"	<http://identifiers.org/taxonomy/1316008>	"Dusicyon avus"
<http://identifiers.org/taxonomy/33554>	"Carnivora"	<http://identifiers.org/taxonomy/9608>	"Canidae"	<http://identifiers.org/taxonomy/68736>	"Lycalopex culpaeus"
<http://identifiers.org/taxonomy/33554>	"Carnivora"	<http://identifiers.org/taxonomy/9608>	"Canidae"	<http://identifiers.org/taxonomy/354191>	"Lycalopex fulvipes"
<http://identifiers.org/taxonomy/33554>	"Carnivora"	<http://identifiers.org/taxonomy/9608>	"Canidae"	<http://identifiers.org/taxonomy/68737>	"Lycalopex griseus"
<http://identifiers.org/taxonomy/33554>	"Carnivora"	<http://identifiers.org/taxonomy/9608>	"Canidae"	<http://identifiers.org/taxonomy/425201>	"Lycalopex gymnocercus"
<http://identifiers.org/taxonomy/33554>	"Carnivora"	<http://identifiers.org/taxonomy/9608>	"Canidae"	<http://identifiers.org/taxonomy/68739>	"Lycalopex sechurae"
<http://identifiers.org/taxonomy/33554>	"Carnivora"	<http://identifiers.org/taxonomy/9608>	"Canidae"	<http://identifiers.org/taxonomy/1303779>	"Lycalopex sp. Fuegian dog"
<http://identifiers.org/taxonomy/33554>	"Carnivora"	<http://identifiers.org/taxonomy/9608>	"Canidae"	<http://identifiers.org/taxonomy/68734>	"Lycalopex vetulus"
<http://identifiers.org/taxonomy/33554>	"Carnivora"	<http://identifiers.org/taxonomy/9608>	"Canidae"	<http://identifiers.org/taxonomy/9622>	"Lycaon pictus"
<http://identifiers.org/taxonomy/33554>	"Carnivora"	<http://identifiers.org/taxonomy/9608>	"Canidae"	<http://identifiers.org/taxonomy/34880>	"Nyctereutes procyonoides"
<http://identifiers.org/taxonomy/33554>	"Carnivora"	<http://identifiers.org/taxonomy/9608>	"Canidae"	<http://identifiers.org/taxonomy/9624>	"Otocyon megalotis"
<http://identifiers.org/taxonomy/33554>	"Carnivora"	<http://identifiers.org/taxonomy/9608>	"Canidae"	<http://identifiers.org/taxonomy/68741>	"Speothos venaticus"
<http://identifiers.org/taxonomy/33554>	"Carnivora"	<http://identifiers.org/taxonomy/9608>	"Canidae"	<http://identifiers.org/taxonomy/55040>	"Urocyon cinereoargenteus"
<http://identifiers.org/taxonomy/33554>	"Carnivora"	<http://identifiers.org/taxonomy/9608>	"Canidae"	<http://identifiers.org/taxonomy/244585>	"Urocyon littoralis"
<http://identifiers.org/taxonomy/33554>	"Carnivora"	<http://identifiers.org/taxonomy/9608>	"Canidae"	<http://identifiers.org/taxonomy/354190>	"Vulpes cana"
<http://identifiers.org/taxonomy/33554>	"Carnivora"	<http://identifiers.org/taxonomy/9608>	"Canidae"	<http://identifiers.org/taxonomy/9626>	"Vulpes chama"
<http://identifiers.org/taxonomy/33554>	"Carnivora"	<http://identifiers.org/taxonomy/9608>	"Canidae"	<http://identifiers.org/taxonomy/9629>	"Vulpes corsac"
<http://identifiers.org/taxonomy/33554>	"Carnivora"	<http://identifiers.org/taxonomy/9608>	"Canidae"	<http://identifiers.org/taxonomy/1002255>	"Vulpes environmental sample"
<http://identifiers.org/taxonomy/33554>	"Carnivora"	<http://identifiers.org/taxonomy/9608>	"Canidae"	<http://identifiers.org/taxonomy/561074>	"Vulpes ferrilata"
<http://identifiers.org/taxonomy/33554>	"Carnivora"	<http://identifiers.org/taxonomy/9608>	"Canidae"	<http://identifiers.org/taxonomy/494514>	"Vulpes lagopus"
<http://identifiers.org/taxonomy/33554>	"Carnivora"	<http://identifiers.org/taxonomy/9608>	"Canidae"	<http://identifiers.org/taxonomy/9630>	"Vulpes macrotis"
<http://identifiers.org/taxonomy/33554>	"Carnivora"	<http://identifiers.org/taxonomy/9608>	"Canidae"	<http://identifiers.org/taxonomy/1224817>	"Vulpes pallida"
<http://identifiers.org/taxonomy/33554>	"Carnivora"	<http://identifiers.org/taxonomy/9608>	"Canidae"	<http://identifiers.org/taxonomy/354189>	"Vulpes rueppellii"
<http://identifiers.org/taxonomy/33554>	"Carnivora"	<http://identifiers.org/taxonomy/9608>	"Canidae"	<http://identifiers.org/taxonomy/30540>	"Vulpes sp."
<http://identifiers.org/taxonomy/33554>	"Carnivora"	<http://identifiers.org/taxonomy/9608>	"Canidae"	<http://identifiers.org/taxonomy/9631>	"Vulpes velox"
<http://identifiers.org/taxonomy/33554>	"Carnivora"	<http://identifiers.org/taxonomy/9608>	"Canidae"	<http://identifiers.org/taxonomy/9627>	"Vulpes vulpes"
<http://identifiers.org/taxonomy/33554>	"Carnivora"	<http://identifiers.org/taxonomy/9608>	"Canidae"	<http://identifiers.org/taxonomy/68732>	"Vulpes zerda"
<http://identifiers.org/taxonomy/33554>	"Carnivora"	<http://identifiers.org/taxonomy/379589>	"Eupleridae"	<http://identifiers.org/taxonomy/94188>	"Cryptoprocta ferox"
<http://identifiers.org/taxonomy/33554>	"Carnivora"	<http://identifiers.org/taxonomy/379589>	"Eupleridae"	<http://identifiers.org/taxonomy/219107>	"Eupleres goudotii"
